Gaststätte „Gliggermühle“,Ludwigstraße 7,Altrip,1732,"Fachwerkhaus, teilweise massiv, 1732",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Altrip,49.433225,8.502774
Wasserturm,"Speyerer Straße, Ecke Rheingönheimer Straße",Altrip,1926!1926/27,"fünfgeschossiger Putzbau mit glockentragender Laterne, 1926/27; ortsbildprägend",,49.431459,8.49859
Schulhaus,Brunnenweg 6,Beindersheim,1913,"ehemaliges Schulhaus; L-förmiger Putzbau auf rustiziertem Sandsteinsockel, hohe Walmdächer, 1913, Architekt Bezirksbaumeister Berghammer",Kein Bild vorhanden,49.559928,8.324677
Wegekreuz,Großniedesheimer Straße,Beindersheim,1869,"Wegekreuz, Sandstein, bezeichnet 1869, Korpus Zinkhohlguss, 1932",Kein Bild vorhanden,49.562655,8.320109
Kriegerdenkmal und Grabmal,"Großniedesheimer Straße, auf dem Friedhof",Beindersheim,1910!ab 1910,"Kriegerdenkmal 1914/18, überlebensgroße Betonplastik, 1959 von Franz Lind, Freinsheim; Grabmal Familie Diehl, Raquet und Blum, Galvanoplastik, um 1910; der Friedhof 1843 angelegt, 1854, 1905 und 1975 erweitert",Kein Bild vorhanden,49.562388,8.321836
Hofanlage,Kirchenstraße 5,Beindersheim,1700!18. und 19. Jahrhundert,"Hofanlage, 18. und 19. Jahrhundert; barockes Wohnhaus mit Torfahrt, bezeichnet 1747, Obergeschoss und Nebengebäude zweite Hälfte des 19. Jahrhunderts",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Beindersheim,49.561273,8.3215
Protestantische Kirche,Kirchenstraße 7,Beindersheim,1748,"Saalbau 1748, Westturm 1908 und 1928/29, Architekt Fritz Larouette, Frankenthal; mit Ausstattung",//commons.wikimedia.org/wiki/Category:Katholische_Kirche_(Beindersheim),49.561504,8.321921
"Katholische Kirche Hl. Kreuz, St. Peter und St. Nikolaus",Kirchenstraße 9,Beindersheim,1914!1914–16,"neubarocker gusssteingegliederter Saalbau, Glockenturm, Treppenturm, 1914–16, Architekt Wendelin Leonhardt, Mannheim; mit Ausstattung",Kein Bild vorhanden,49.561457,8.322497
Hakenhof,Kirchenstraße 16,Beindersheim,1850!Mitte des 19. Jahrhunderts,"Hakenhof, Mitte des 19. Jahrhunderts; eingeschossiges Wohnhaus mit Kniestock; teilweise wiederverwendete Fenstergewände des 18. Jahrhunderts; Toranlage, bezeichnet 1842",Kein Bild vorhanden,49.561278,8.323313
Rathaus,Schenkelstraße 1,Beindersheim,1849,"sandsteingegliederter Putzbau, 1849; zwei Tafeln vom Vorgängerbau, eine bezeichnet 1616; ortsbildprägend",Kein Bild vorhanden,49.56103,8.320724
Hofanlage,Schenkelstraße 5,Beindersheim,1800!19. Jahrhundert,"Hofanlage, 19. Jahrhundert; eineinhalbgeschossiges Wohnhaus und Altensitz, Scheune: Rotsandsteinquaderbau",,49.56104,8.320256
Schlussstein,"Schenkelstraße, an Nr. 14",Beindersheim,1774,"barocker Schlussstein, 1774",,49.561218,8.318889
Protestantische Pfarrkirche (Lukaskirche),Waldstraße 32,Birkenheide,1951,"hausartiger Holzbau mit Gemeinderaum unter gemeinsamem Satteldach, 1951, Architekt Otto Bartning (Notkirchenprogramm 1948)",Kein Bild vorhanden,49.482132,8.26565
Kriegerdenkmal,Franz-Voll-Straße,Bobenheim-Roxheim,1958,"Kriegerdenkmal 1939/45 als Wegekreuz, 1958 von Georg Schubert, Frankenthal",Kein Bild vorhanden,49.589652,8.356161
Katholische Pfarrkirche St. Laurentius,Roxheimer Straße 4,Bobenheim-Roxheim,1896,"neuromanischer rotsandsteingegliederter Gelbsandsteinquaderbau, 1896, Architekt Ludwig Becker, Mainz; Ausstattung",//commons.wikimedia.org/wiki/Category:St._Laurentius_(Bobenheim),49.587579,8.356671
Kriegerdenkmal,"Roxheimer Straße, vor Nr. 4",Bobenheim-Roxheim,1930,"Kriegerdenkmal 1914/18, 1930 von Franz Lind, Freinsheim",Kein Bild vorhanden,49.587668,8.356679
Katholisches Pfarrhaus,Roxheimer Straße 6,Bobenheim-Roxheim,1902!1902/03,"sandsteingegliederter Klinkerbau mit Walmdach, 1902/03",Kein Bild vorhanden,49.587657,8.357045
"Friedhofskreuz, Kriegerdenkmal und Grabmale","Wormser Landstraße, auf dem Friedhof",Bobenheim-Roxheim,1880!ab 1880,"Friedhof 1905 angelegt, 1955 und 1975 erweitert; Teile der Sandsteinquadermauer mit zinnenartigen Aufsätzen, 1910; Friedhofskreuz, Gusstein, 1915 von E. Glückstein, Frankenthal; Kriegerdenkmal 1870/71, um 1880 von F. Schuler, Ludwigshafen; Grabmal Georg Schmitt († 1907), Grabmäler der Familien S. Pink († 1909) und F. Hasch († 1918) von E. Glückstein, Frankenthal",Kein Bild vorhanden,49.593059,8.356296
Littersheimerhof oder Nonnenhof,"Nonnenhof 5, nordöstlich von Bobenheim",Bobenheim-Roxheim,1850!zweite Hälfte des 19. Jahrhunderts,"Herrenhaus, zweieinhalbgeschossiger Krüppelwalmdachbau, zweite Hälfte des 19. Jahrhunderts; barocker Keller",Kein Bild vorhanden,49.595797,8.369561
Denkmalzone Jüdischer Friedhof,Bobenheimer Straße,Bobenheim-Roxheim,1850!um 1850,"um 1850 bis 1935, 1903 erweitert; 21 Grabsteine des 19. und 20. Jahrhunderts",Kein Bild vorhanden,49.582816,8.360568
Kapelle,"Bobenheimer Straße, Ecke Kapellenweg",Bobenheim-Roxheim,1853,"Kapelle, Satteldachbau, bezeichnet 1853; Kreuzigungsgruppe, Stuck, 1866",Kein Bild vorhanden,49.58179,8.361444
Evangelische Kirche Roxheim,Bobenheimer Straße 19,Bobenheim-Roxheim,1896!1896/97,"Sandsteinquaderbauten, 1896/97, Architekt Franz Schöberl, Speyer; neugotischer Saalbau, Glockenturm; Glasfenster 1898, Firma A. Koob, München; zugehörig das rückwärtig angebaute Pfarrhaus",Kein Bild vorhanden,49.58016,8.363771
Kriegerdenkmal,"Friedrich-Ebert-Straße, bei Nr. 1",Bobenheim-Roxheim,1937,"Kriegerdenkmal 1914/18, schreitende Soldaten, 1937, Bildhauer Theobald Hauck, Maxdorf",Kein Bild vorhanden,49.578025,8.36881
"Friedhofskreuz, Kriegerdenkmal und Grabmäler","Mittelstraße, auf dem Friedhof",Bobenheim-Roxheim,1855!ab 1855,"Friedhof 1825 angelegt, 1847, 1899, 1925 und 1946 erweitert; Friedhofsmauer teilweise erhalten; Friedhofskreuz, Gussstein, 1913; Kriegerdenkmal 1866 und 1870/71, Sandstein, 1880 von E. Glückstein, Frankenthal; Grabmäler: A. Vettermann († 1912), neugotisch, von Blümling, Frankenthal; Familie Frentzel-Lipps, Granit, 1920er Jahre; G. Kleinmann († 1903), Granitstele mit Bronzerelief, von H. Stockmann, Köln; Familie Schwemler-Nagel, Granit, spätes 19. Jahrhundert, von Aloys Boller, Worms; A. Bauer († 1855), Sandstein; E. Traser († 1879), späthistoristisch, von C. Boller, Worms; gusseisernes durchbrochenes Maßwerkkreuz, 19. Jahrhundert",Kein Bild vorhanden,49.579914,8.362741
Dreiseithof,Raiffeisenstraße 17,Bobenheim-Roxheim,1700!18. und 19. Jahrhundert,"Dreiseithof, 18. und 19. Jahrhundert; barockes Wohnhaus: eineinhalbgeschossiger verputzter Lehmziegelbau; Lehmziegelscheune mit Fachwerkgiebeln, 18. Jahrhundert; Pferdestall, kreuzbandrippengewölbt, wohl erste Hälfte des 19. Jahrhunderts; kleines Nebengebäude; überdachte Torfahrt, zweite Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.579321,8.365206
Katholischer Pfarrhof,Rheinstraße 13,Bobenheim-Roxheim,1700!18. Jahrhundert,"Katholischer Pfarrhof, Scheune mit Walmdach, 18. Jahrhundert",Kein Bild vorhanden,49.579039,8.366935
Katholische Pfarrkirche St. Maria Magdalena,Rheinstraße 25,Bobenheim-Roxheim,1833!1833/34,"klassizistischer Saalbau, 1833/34, Architekt Bernhard Spatz, Speyer, Westturm (Helm 1891); Querhaus und Apsis, Umbau des Langhauses, 1953/54, Architekt Albert Boßlet, Würzburg; östlich am Außenbau Figuren einer Kreuzigungsgruppe, 1738",Kein Bild vorhanden,49.579274,8.365942
Schulhaus,Rheinstraße 32,Bobenheim-Roxheim,1889,"historisierender sandsteingegliederter Putzbau mit Walmdächern, 1889, Architekt Albert Friedrich Speer, Mannheim",Kein Bild vorhanden,49.579437,8.366213
Wohnhaus,"Hofgut Scharrau, südöstlich von Roxheim",Bobenheim-Roxheim,1870!nach 1870,"Gutsbesitzerhaus des Hofguts Scharrau; zweieinhalbgeschossiger neuklassizistischer Walmdachbau, nach 1870 (Keller wohl barock, Erdgeschoss erste Hälfte des 19. Jahrhunderts)",,49.576464,8.378535
Bahnhof,Am Bahnhofsplatz 4,Böhl-Iggelheim,1847,"repräsentativer Putzbau, sogenannter Maximilianstil; Mittelteil 1847, westliches Giebelhaus und Treppenturm wohl aus den 1860er Jahren, östlicher Teil um 1910",//commons.wikimedia.org/wiki/Category:Bahnhof_B%C3%B6hl-Iggelheim,49.379671,8.303765
"Friedhofskreuz, Kriegerdenkmal und Grabmäler","Am Oppelsweg, auf dem Friedhof",Böhl-Iggelheim,1781!ab 1781,"Friedhof 1839 angelegt, 1876, 1965 und 1976 erweitert; Umfriedung von 1876 teilweise erhalten; spätbarockes Friedhofskreuz, 1781; Ehrenfriedhof 1914/18 mit Kriegerdenkmal, Beton, 1963 von Franz Lind, Freinsheim; Grabmäler: Familie Ph. J. Freundlich III († 1917), Gusstein, neuromanische und Jugendstilmotive, Familie Ph. J. Freundlich IV († 1918), Gusstein, klassizierend",Kein Bild vorhanden,49.386371,8.297695
Wasserturm,Am Wasserturm 13a,Böhl-Iggelheim,1934,"hoher ungegliederter Unterbau auf achteckigem Grundriss, runder Hochbehälter, Arbeitsgeschoss mit Kegeldach, 1934, Architekt wohl Georg Jakob Lehr, Neustadt an der Weinstraße",Kein Bild vorhanden,49.387565,8.292623
Spolie,"Hauptstraße, an Nr. 9",Böhl-Iggelheim,1740!um 1740,"Spolie von der abgegangenen lutherischen Kirche, Schlussstein, um 1740",Kein Bild vorhanden,49.383452,8.299198
Fachwerkhaus,Hauptstraße 28,Böhl-Iggelheim,1840,"eingeschossiges Fachwerkwohnhaus, bezeichnet 1840",//commons.wikimedia.org/wiki/Category:Hauptstra%C3%9Fe_38_(B%C3%B6hl-Iggelheim),49.384088,8.298892
Fachwerkhaus,Hauptstraße 38,Böhl-Iggelheim,1857,"Fachwerkwohnhaus mit Kniestock, bezeichnet 1857",Kein Bild vorhanden,49.384589,8.298346
Dreiseithof,Hauptstraße 45,Böhl-Iggelheim,1727,"barocker Dreiseithof; Wohnhaus, teilweise Fachwerk, bezeichnet 1727; Altensitz, eingeschossiger Fachwerkbau mit Kniestock, bezeichnet 1730; Fachwerkscheune",Kein Bild vorhanden,49.385255,8.297397
Wohnhaus,Hauptstraße 46,Böhl-Iggelheim,1858,"Wohnhaus, teilweise Fachwerk, bezeichnet 1858",//commons.wikimedia.org/wiki/Category:Allerheiligenkirche_(B%C3%B6hl-Iggelheim),49.385109,8.297875
Wohnhaus,Hauptstraße 53,Böhl-Iggelheim,1768,"barockes Wohnhaus, teilweise Fachwerk, bezeichnet 1768",Kein Bild vorhanden,49.385704,8.296983
Fachwerkhaus,Hauptstraße 57,Böhl-Iggelheim,1775!Ende des 18. Jahrhunderts,"eingeschossiges Fachwerkwohnhaus, Ende des 18. Jahrhunderts",Kein Bild vorhanden,49.385914,8.296758
Toranlage,"Hauptstraße, zu Nr. 73",Böhl-Iggelheim,1750!zweite Hälfte des 18. Jahrhunderts,"anspruchsvolle klassizistische Toranlage, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.387056,8.295529
Dreiseithof,Hauptstraße 75,Böhl-Iggelheim,1826,"Dreiseithof, bezeichnet 1826; Wohnhaus, teilweise Fachwerk, Krüppelwalmdach, Altensitz analog",Kein Bild vorhanden,49.387204,8.295374
Hofanlage,Hauptstraße 77,Böhl-Iggelheim,1784!ab 1784,"Wohnhaus mit Sandstein- und Holzarchitekturteilen, drittes Viertel des 19. Jahrhunderts; rückwärtige Fachwerkgebäude älter, Scheune bezeichnet 1784",Kein Bild vorhanden,49.387415,8.295167
Dreiseithof,Hauptstraße 98,Böhl-Iggelheim,1762,"Dreiseithof, im Kern von 1762; Wohnhaus und Nebengebäude 1837, Scheune und Stall überwiegend Fachwerk sowie Toranlage, 18. Jahrhundert",Kein Bild vorhanden,49.387175,8.295618
Wohnhaus,Iggelheimer Straße 3,Böhl-Iggelheim,1895!um 1895,"villenartiges gründerzeitliches Wohnhaus, sandsteingegliederter Backsteinbau, um 1895",Kein Bild vorhanden,49.379189,8.302851
Protestantisches Pfarrhaus,Kirchenstraße 1,Böhl-Iggelheim,1875!um 1875,"Ehemaliges protestantisches Pfarrhaus, neuklassizistischer Walmdachbau, um 1875; Umfassungsmauer des Pfarrguts teilweise erhalten, wohl 18. Jahrhundert",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_B%C3%B6hl,49.386774,8.295724
Fachwerkhaus,Kirchenstraße 3,Böhl-Iggelheim,1600!17. Jahrhundert,"Fachwerkwohnhaus mit Krüppelwalmdach, wohl aus dem 17. Jahrhundert",Kein Bild vorhanden,49.386407,8.294942
Dreiseithof,Kirchenstraße 10,Böhl-Iggelheim,1870!1870er Jahre,"Dreiseithof, 1870er Jahre; Putzbau, teilweise Fachwerk, kleinerer Altensitz ähnlich",Kein Bild vorhanden,49.386219,8.294835
Schulhaus,Kirchenstraße 12,Böhl-Iggelheim,1915!1915–19,"Schule; Putzbau auf unregelmäßigem Grundriss mit Walmdächern, 1915–19; ortsbildprägend",Kein Bild vorhanden,49.385585,8.294739
Kriegerdenkmal,"Kirchenstraße, bei Nr. 12",Böhl-Iggelheim,1900,"Kriegerdenkmal 1870/71, Granitobelisk, 1900",Kein Bild vorhanden,49.385922,8.294184
Katholische Kirche Allerheiligen,Kirchenstraße 13,Böhl-Iggelheim,1856!1856/57,"neugotischer Sandsteinquaderbau, 1856/57, Architekt Ludwig Hagemann, Speyer; Ausstattung",Kein Bild vorhanden,49.386094,8.294058
Friedhofskreuz,"Kirchenstraße, bei Nr. 13",Böhl-Iggelheim,1759,"ehemaliges Friedhofskreuz (?); barock, Sandstein, 1759",Kein Bild vorhanden,49.386128,8.293828
Vierseithof,Kirchenstraße 14,Böhl-Iggelheim,1800!19. Jahrhunderts,"Vierseithof, 19. Jahrhunderts; Wohnhaus, teilweise Fachwerk, 1874",//commons.wikimedia.org/wiki/Category:Protestantische_Kirche_Iggelheim,49.385845,8.29377
Katholisches Pfarrhaus,Kirchenstraße 15,Böhl-Iggelheim,1769!1769–71,"ehemaliges katholisches Pfarrhaus, barocker Krüppelwalmdachbau, 1769–71, bauzeitliche Remise",Kein Bild vorhanden,49.386339,8.29365
Fachwerkhaus,Kirchenstraße 17/17a,Böhl-Iggelheim,1600!um 1600,"Fachwerkwohnhaus, um oder bald nach 1600; geschnitzte Fenstererker",Kein Bild vorhanden,49.3863,8.293509
Fachwerkhaus,Kirchenstraße 20,Böhl-Iggelheim,1816,"Fachwerkwohnhaus mit Krüppelwalmdach, bezeichnet 1816",Kein Bild vorhanden,49.385688,8.293295
Gemeindehaus,Kirchenstraße 23,Böhl-Iggelheim,1883,"Gemeindehaus, neuklassizistischer Walmdachbau, 1883; platzbildprägend",//commons.wikimedia.org/wiki/Category:Heimatmuseum_B%C3%B6hl-Iggelheim,49.385985,8.293753
Fachwerkhaus,Kirchenstraße 24,Böhl-Iggelheim,1600!17. Jahrhundert,"Fachwerkwohnhaus mit Krüppelwalmdach, wohl noch aus dem 17. Jahrhundert",Kein Bild vorhanden,49.385582,8.292976
Fachwerkhaus,Kirchenstraße 29,Böhl-Iggelheim,1700!erste Hälfte des 18. Jahrhunderts,"Fachwerkwohnhaus, erste Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.38585,8.293362
Fachwerkhaus,Kirchenstraße 41,Böhl-Iggelheim,1710,"Fachwerkwohnhaus, teilweise massiv, bezeichnet 1710",Kein Bild vorhanden,49.385504,8.292344
Dreiseithof,Kirchenstraße 47,Böhl-Iggelheim,1875!um 1875,"stattlicher gründerzeitlicher Dreiseithof, um 1875",Kein Bild vorhanden,49.385306,8.291917
Winkelhof,Kirchenstraße 51,Böhl-Iggelheim,1880!um 1880,"Winkelhof, um 1880; eingeschossiges Wohnhaus mit Kniestock, Wirtschaftsgebäude überwiegend Bruchstein",Kein Bild vorhanden,49.385197,8.291656
Toranlage,"Ludwigstraße, zu Nr. 1",Böhl-Iggelheim,1597,"zweiteilige Renaissancetoranlage, bezeichnet 1597",Kein Bild vorhanden,49.384872,8.291624
Fachwerkhaus,Ludwigstraße 4,Böhl-Iggelheim,1700!frühes 18. Jahrhundert,"Fachwerkwohnhaus, wohl aus dem frühen 18. Jahrhundert, bauzeitliche Ökonomie; Toranlage, zweite Hälfte des 18. Jahrhunderts",Kein Bild vorhanden,49.38484,8.291832
Fachwerkhaus,Ludwigstraße 32,Böhl-Iggelheim,"","spätbarockes Fachwerkwohnhaus mit Krüppelwalmdach; im Hof Volutenkapitell, bezeichnet 1723",Kein Bild vorhanden,49.383242,8.293075
Protestantische Pfarrkirche,Schulstraße 45,Böhl-Iggelheim,1844!1844/45,"neuromanischer Saalbau, 1844/45, nach Brand barockisierende Wiederherstellung 1908/09, Architekt Conrad Kreuzberg, Neustadt an der Weinstraße; ortsbildprägend",Kein Bild vorhanden,49.385153,8.294541
Fachwerkhaus,Buschgasse 25,Böhl-Iggelheim,1775!spätes 18. Jahrhundert,"eingeschossiges Fachwerkwohnhaus mit Kniestock, spätes 18. Jahrhundert",Kein Bild vorhanden,49.364069,8.309256
Hofanlage,Buschgasse 27,Böhl-Iggelheim,1751,"barocke Hofanlage; eingeschossiges Fachwerkwohnhaus, teilweise massiv, mit Kniestock, 1751; Fachwerkscheune 1725",,49.363846,8.30931
Hakenhof,Buschgasse 28/30,Böhl-Iggelheim,1763,"Hakenhof; eingeschossiges Fachwerkwohnhaus mit Kniestock, bezeichnet 1763; rückwärtiger Bau, erstes Viertel des 19. Jahrhunderts; zwei Fachwerkscheunen, bezeichnet 1763 bzw. 1860er Jahre; vor dem Wohnhaus Kilometerstein",,49.363517,8.309253
Kilometerstein,"Buschgasse, vor Nr. 28",Böhl-Iggelheim,1800!19. Jahrhundert,"Kilometerstein, Sandsteinpfeiler, 19. Jahrhundert",,49.363475,8.309297
Fachwerkhaus,Buschgasse 29,Böhl-Iggelheim,1700!frühes 18. Jahrhundert,"reiches Fachwerkwohnhaus, wohl aus dem frühen 18. Jahrhundert; Nebengebäude 1829",,49.363762,8.30934
Fachwerkhaus,Eisenbahnstraße 15,Böhl-Iggelheim,1700!18. Jahrhundert,"eingeschossiges Fachwerkwohnhaus, teilweise massiv, Krüppelwalmdach, 18. Jahrhundert",,49.36666,8.308051
Protestantische Pfarrkirche,Friedhofstraße,Böhl-Iggelheim,1756,"spätbarocker Saalbau, bezeichnet 1756, Architekt wohl Carl Wilhelm Schäffer, Neustadt an der Weinstraße; Turm in den drei unteren Geschossen aus der ersten Hälfte des 12. Jahrhunderts, spätklassizistisches Obergeschoss mit Spitzhelm 1834; Ausstattung",,49.363437,8.301573
Ehemalige katholische Pfarrkirche St. Simon und Judas Thaddäus,"Haßlocher Straße, auf dem Friedhof",Böhl-Iggelheim,1740,"ehemalige katholische Pfarrkirche St. Simon und Judas Thaddäus, jetzt Friedhofshalle; spätbarocker Saalbau mit Dachreiter, bezeichnet 1740; polygonale Sakristei, 1845",,49.363485,8.301131
"Friedhofskreuz, Kriegerdenkmal und Grabmäler","Haßlocher Straße, auf dem Friedhof",Böhl-Iggelheim,1776!ab 1776,"Friedhof 1739, um 1857 und 1965 erweitert; Friedhofskreuz, 1776, renoviert 1823; Kriegerdenkmal für die katholischen Gefallenen des Ersten Weltkriegs, Sandstein, 1918; Grabmäler der protestantischen Pfarrer; weitere Grabmäler: J. Brendel († 1885) von W. Bruker, Neustadt an der Weinstraße; P. Gärtner († 1889), neugotisch, von W. Bruker, Neustadt an der Weinstraße; Familien Stahl und Walter, letzteres 1909 von C. M. Geiling; Ph. E. Hasse († 1910) mit Terrakottanachbildung des Thorvaldsen-Christus",,49.362779,8.300498
Reformiertes Schulhaus,Haßlocher Straße 2,Böhl-Iggelheim,1769,"ehemaliges reformiertes Schulhaus mit Lehrerwohnung, eingeschossiger Fachwerkbau, 1769; Fachwerkscheune",,49.365084,8.30321
Dreiseithof,Haßlocher Straße 4,Böhl-Iggelheim,1700!18. und 19. Jahrhundert,"unvollständiger Dreiseithof, 18. und 19. Jahrhundert; eingeschossiges Fachwerkwohnhaus mit Kniestock, um 1800; rückwärtiger Wirtschaftsteil bezeichnet 1856",,49.364949,8.302896
Protestantisches Pfarrhaus,Haßlocher Straße 6,Böhl-Iggelheim,1764,"Ehemaliges protestantisches Pfarrhaus; stattlicher Krüppelwalmdachbau, 1764",,49.364849,8.302645
Rathaus,Langgasse 2,Böhl-Iggelheim,1569,"ehemaliges Rathaus; Renaissancebau, bezeichnet 1569; überdachter Treppenaufgang, darunter Verlies, Fachwerkober- und Dachgeschosse wohl von 1775, Glockentürmchen; Uhr, 1775 von Johann Paul Korber, Bad Dürkheim",,49.365623,8.308485
Gasthaus „Zum Hirsch“,Langgasse 5/7,Böhl-Iggelheim,1700!frühes 18. Jahrhundert,"barockes Fachwerkwohnhaus, wohl aus dem frühen 18. Jahrhundert, Straßenfassade um 1800 massiv erneuert",,49.365426,8.308222
Fachwerkhaus,Langgasse 9,Böhl-Iggelheim,1860!um 1860,"stattliches Fachwerkwohnhaus, teilweise massiv, Krüppelwalmdach, um 1860",,49.36539,8.308052
Jakob-Heinrich-Lützel-Schule,Langgasse 10,Böhl-Iggelheim,1904,"historisierender Walmdachbau, Giebelrisalit, 1904",,49.365646,8.307717
Kriegerdenkmal,"Langgasse, vor Nr. 10",Böhl-Iggelheim,1900!um 1900,"Kriegerdenkmal 1870/71, Granit-Obelisk, Reichsadler in Metallguss, um 1900",,49.365504,8.307774
Fachwerkhaus,Langgasse 11,Böhl-Iggelheim,1761,"eingeschossiges Fachwerkwohnhaus, teilweise massiv, mit Kniestock, bezeichnet 1761",,49.365348,8.307841
Fachwerkhaus,Langgasse 19,Böhl-Iggelheim,1848,"eingeschossiges Fachwerkwohnhaus mit Kniestock, bezeichnet 1848",,49.365318,8.307201
Gaststätte „Zum Bären“,Langgasse 59,Böhl-Iggelheim,1600!17. Jahrhundert,"eingeschossiger barocker Fachwerkbau (verputzt), wohl noch aus dem 17. Jahrhundert; zwei große Zwerchhäuser",,49.365051,8.30362
Kleinbauernhof,Langgasse 62,Böhl-Iggelheim,1700!18. und 19. Jahrhundert,"Kleinbauernhof, 18. und 19. Jahrhundert; eingeschossiges Fachwerkwohnhaus mit Kniestock, Fachwerkscheune",,49.365222,8.303693
Fachwerkhäuser,Lützelstraße 1 und 3,Böhl-Iggelheim,1821!ab 1821,"zwei eingeschossige Fachwerkhäuser mit Kniestock; Nr. 3 bezeichnet 1821, Nr. 1 Eckbau, teilweise massiv, um 1850; ortsbildprägend; rückwärtiges Wirtschaftsgebäude um 1890",,49.365879,8.308877
Fachwerkhaus,Lützelstraße 14,Böhl-Iggelheim,1834,"eingeschossiges Fachwerkwohnhaus mit Kniestock, bezeichnet 1834",,49.366103,8.309816
Fachwerkhaus,Sandgasse 5,Böhl-Iggelheim,1600!17. Jahrhundert,"Fachwerkwohnhaus, teilweise massiv, 17. Jahrhundert; spätbarocke Torpfosten",,49.365528,8.30299
Katholische Pfarrkirche St. Simon und Judas Thaddäus,Taubenstraße 19,Böhl-Iggelheim,1935!1935/36,"hausartiger Putzbau, 1935/36, Architekt Albert Boßlet, Würzburg; südlich des platten Chorschlusses Turm mit Pyramidendach, nördlich Sakristei; Holzskulpturen aus dem Vorgängerbau",,49.36189,8.308617
Katholisches Schulhaus,Friedhofstraße 6,Dannstadt-Schauernheim,1791!1791/92,"ehemaliges katholisches Schulhaus mit Lehrerwohnung; eingeschossiger Krüppelwalmdachbau, 1791/92",Kein Bild vorhanden,49.427196,8.316496
"Friedhofskreuz, Kriegerdenkmal und Grabmäler","Friedhofstraße, auf dem Friedhof",Dannstadt-Schauernheim,1778!ab 1778,"Friedhof 1807 angelegt, 1836, um 1900 und 1950 erweitert; Kriegerdenkmal 1914/18 und 1939/45, Anlage mit Reiterstandbild, 1929 von Fritz Herrfurth, Bad Dürkheim; Friedhofskreuz, 1778; Grabmäler: Dr. med. R. Hemke († 1971), Bronzehohlguss im Art-déco-Stil von A. Bernd, Kaiserslautern; Grabstätte Familie Ph. Bernd, Hochrelief, Terrakotta, signiert A. Bernd",Kein Bild vorhanden,49.428354,8.314363
Torbogen,"Hauptstraße, zu Nr. 125",Dannstadt-Schauernheim,1852,"Torbogen und Pforte, bezeichnet 1852",Kein Bild vorhanden,49.42491,8.317653
Rat- und Schulhaus,Hauptstraße 139,Dannstadt-Schauernheim,1790,"ehemaliges Rat- und Schulhaus; dreigeschossiger Walmdachbau, bezeichnet 1790, Erweiterung 1834/35, Aufstockung 1881; ortsbildprägend",Kein Bild vorhanden,49.424416,8.318593
