,,,,,,,,
Denkmalzone 1920er-Jahre-Siedlung Gustav-Pfarrius-Straße,"Gustav-Pfarrius-Straße 14–30 (gerade Nummern), 17–37 (ungerade Nummern), Ringstraße 102–110 (gerade Nummern), Jean-Winckler-Straße 2–20 (gerade Nummern), Röntgenstraße 20–24 (gerade Nummern), 25–35 (ungerade Nummern)",der Kernstadt von Bad Kreuznach,1925!1925/26,"seit 1897 erstellter Gebäudekomplex im Park, gotisierende Sandstein- und Backsteinbauten (erster Bauabschnitt), Architekt Friedrich Langenbach, Barmen; 1912-54 angepasste Ergänzungsbauten, Architekt Willibald Hamburger[2]",Kein Bild vorhanden,nope,nope,
Wohnhaus,Albrechtstraße 22,der Kernstadt von Bad Kreuznach,1902!1902/03,"dreigeschossiges nachbarockes Wohn- und Geschäftshaus, teilweise Fachwerk (verputzt), wohl aus der ersten Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,49.836585,7.856472,
Wohn- und Geschäftshaus,Alte Poststraße 2,der Kernstadt von Bad Kreuznach,1800!erste Hälfte des 19. Jahrhunderts,"Kartusche, bezeichnet 1797",Kein Bild vorhanden,49.847358,7.85565,
Spolie,"Alte Poststraße, an Nr. 4",der Kernstadt von Bad Kreuznach,1797,"Eckwohnhaus; spätbarocker Mansard(walm)dachbau; barockisierende Fenster 1909, Architekt Anton Kullmann; ältere Keller",//commons.wikimedia.org/wiki/Category:Kauzenburg,49.847352,7.855778,
Wohnhaus,Alte Poststraße 6,der Kernstadt von Bad Kreuznach,1750!zweite Hälfte des 18. Jahrhunderts,"spätbarockes Wohnhaus, teilweise Fachwerk (verputzt), Umbau 1839, Architekt Peter Engelmann; Keller wohl älter",Kein Bild vorhanden,49.847332,7.85597,
Wohnhaus,Alte Poststraße 7,der Kernstadt von Bad Kreuznach,1750!zweite Hälfte des 18. Jahrhunderts,"spätbarockes Wohnhaus, teilweise Fachwerk (verputzt bzw. verschiefert)",Kein Bild vorhanden,49.847424,7.855832,
Wohnhaus,Alte Poststraße 8,der Kernstadt von Bad Kreuznach,1750!zweite Hälfte des 18. Jahrhunderts,"Giebelhaus, Erdgeschoss aus dem 16. Jahrhundert, Obergeschoss und Giebel in Zierfachwerk um 1710",Kein Bild vorhanden,49.847299,7.856247,
Volxheimer Burghaus,Alte Poststraße 15,der Kernstadt von Bad Kreuznach,1500!16. Jahrhundert,"von der nach 1105 gegründeten Burg der Grafen von Sponheim wenige Umfassungsmauern und gewölbte Kellerräume erhalten; 1971 Ausbau zu Burggaststätte, Architekt Gottfried Böhm",Kein Bild vorhanden,49.847386,7.856149,
Kauzenburg,Auf dem Kauzenberg,der Kernstadt von Bad Kreuznach,1105!nach 1105,"„Kellereianlage mit Bureaugebäude“ auf L-förmigem Grundriss, 1899, Architekten Curjel und Moser, ursprünglich zur Villa Brückes 3 gehörend; Verbindungstrakt 1919",Kein Bild vorhanden,49.844844,7.854571,
Kellereianlage,Auf dem Martinsberg 1,der Kernstadt von Bad Kreuznach,1899,"herrschaftliche Gründerzeitvilla, Klinkerbau mit Walmdach, Neurenaissance, 1884, Architekt Jacob Karst; Erkeranbauten 1920er Jahre; eingeschossiges Backstein-Nebengebäude mit Walmdach, 1888; bauzeitliche Vorgarteneinfriedung",Kein Bild vorhanden,49.848964,7.859385,
Villa,Auf dem Martinsberg 2,der Kernstadt von Bad Kreuznach,1884,"Doppelhaus; Klinkerbau mit dreigeschossigen Seitenrisaliten, 1896/97, Architekt Anton Kullmann",Kein Bild vorhanden,49.849466,7.859584,
Wohnhaus,Auf dem Martinsberg 3/5,der Kernstadt von Bad Kreuznach,1896!1896/97,"zweieinhalbgeschossiges Mietshaus, Backsteinbau, Neurenaissancemotive, 1894/95, Architekt Heinrich Ruppert",Kein Bild vorhanden,49.849316,7.859838,
Wohnhaus,Baumgartenstraße 3,der Kernstadt von Bad Kreuznach,1894!1894/95,"dreieinhalbgeschossiges Eckwohn- und Geschäftshaus mit Erkerturm, Neurenaissance- und Jugendstilmotive, 1906/07, Architekten Gebrüder Lang",Kein Bild vorhanden,49.840631,7.863517,
Wohn- und Geschäftshaus,Baumgartenstraße 39,der Kernstadt von Bad Kreuznach,1906!1906/07,"Wohnhaus; sandsteingegliederter Klinkerbau, abgewalmtes Mansarddach, Neurenaissance, 1898/99, Architekt Hermann Herter",Kein Bild vorhanden,49.838979,7.859728,
Wohnhaus,Baumgartenstraße 42,der Kernstadt von Bad Kreuznach,1898!1898/99,"Doppelwohnhaus; Klinkerbau mit Mansardwalmdach, Neurenaissance, 1898, Nr. 46, Architekt Hermann Herter, Nr. 48, Architekten Gebrüder Lang",Kein Bild vorhanden,49.839186,7.859851,
Wohnhaus,Baumgartenstraße 46/48,der Kernstadt von Bad Kreuznach,1898,"zweieinhalbgeschossiges Wohnhaus, klinkerverzierter Backsteinbau, 1896/97, Architekten Gebrüder Lang",Kein Bild vorhanden,49.83902,7.859443,
Wohnhaus,Baumgartenstraße 50,der Kernstadt von Bad Kreuznach,1896!1896/97,"zweieinhalbgeschossige Villa; klinkerverblendeter Walmdachbau, Neurenaissance, 1880/81, Architekt Stadtbaumeister Hartmann (?); eingeschossiger Vorbau, 1934, Architekt Karl Heep",Kein Bild vorhanden,49.838906,7.859132,
Villa,Baumstraße 15,der Kernstadt von Bad Kreuznach,1880!1880/81,"Eckwohnhaus; zwei im Kern aus dem 18. Jahrhundert stammende spätbarocke verputzte Fachwerkhäuser, Umbau und Walmdach 1907, Architekt L. Zimmer",Kein Bild vorhanden,49.837468,7.858724,
Wohnhaus,Beinde 18,der Kernstadt von Bad Kreuznach,1700!18. Jahrhundert,"Oberlichtportal, spätbarock, bezeichnet 1782",Kein Bild vorhanden,49.844416,7.85973,
Portal,"Beinde, an Nr. 20",der Kernstadt von Bad Kreuznach,1782,"achsensymmetrisches Doppelwohn- und Geschäftshaus; zweifarbiger Klinkerbau, 1899/1900",Kein Bild vorhanden,49.844418,7.859895,
Wohn- und Geschäftshaus,Bleichstraße 18/20,der Kernstadt von Bad Kreuznach,1899!1899/1900,"anspruchsvoller sandsteingegliederter Klinkerbau mit Walmdach, Neurenaissance, 1896/97, Architekten Gebrüder Lang",Kein Bild vorhanden,49.845674,7.864213,
Wohnhaus,Bleichstraße 23,der Kernstadt von Bad Kreuznach,1896!1896/97,"sandsteingegliederter Backsteinbau mit Mansardwalmdach, 1896/97, Architekt August Henke",Kein Bild vorhanden,49.845598,7.864577,
Wohnhaus,Bleichstraße 25,der Kernstadt von Bad Kreuznach,1896!1896/97,"zweieinhalbgeschossiges Eckwohn- und Geschäftshaus; sandsteingegliederter Klinkerbau mit Turmerker und Walmdach, Neurenaissance, 1892, Architekt Martin Hassinger",Kein Bild vorhanden,49.845458,7.864781,
Wohn- und Geschäftshaus,Bleichstraße 26,der Kernstadt von Bad Kreuznach,1892,"Wohnhaus und Fabrikgebäude, dekorativer Klinkerbau mit Krüppelwalmdach, Neurenaissance, bezeichnet 1899/1900, Architekt Johann Stanger; Fabrik: großvolumiger Backsteinbau",Kein Bild vorhanden,49.845309,7.864736,
Wohnhaus und Fabrikgebäude,Bosenheimer Straße 79,der Kernstadt von Bad Kreuznach,1899!1899/1900,"in der katholischen Kirche St. Wolfgang: vier farbig gefasste Skulpturen; barocke Madonna, Nachbildung der spätgotischen St.-Wolfgang-Figur in St. Wolfgang, spätgotisches Kruzifix, spätgotische Pietà",Kein Bild vorhanden,49.843113,7.871448,
Skulpturen,"Breslauer Straße, in Nr. 2",der Kernstadt von Bad Kreuznach,,"klassizistischer Walmdachbau mit dreiachsigem Giebelrisalit, 1834 ff., Architekt Ludwig Behr",Kein Bild vorhanden,49.832057,7.86655,
Casino,Brückes 1,der Kernstadt von Bad Kreuznach,1834!1834 ff.,"herrschaftliche Gründerzeitvilla mit Walmdach, Neurenaissance, kurz vor 1876",Kein Bild vorhanden,49.84821,7.859013,
Villa,Brückes 3,der Kernstadt von Bad Kreuznach,1876!vor 1876,"großbürgerliche, teilweise dreigeschossige Gründerzeitvilla mit Walmdach, Neurenaissance, um 1870",Kein Bild vorhanden,49.848659,7.860157,
Villa,Brückes 5,der Kernstadt von Bad Kreuznach,1870!um 1870,"anspruchsvolles dreigeschossiges Wohnhaus, klassizistische Motive, um 1840",Kein Bild vorhanden,49.848838,7.860282,
Wohnhaus,Brückes 12,der Kernstadt von Bad Kreuznach,1840!um 1840,"zweieinhalbgeschossiges Wohnhaus, um 1840",Kein Bild vorhanden,49.848576,7.860409,
Wohnhaus,Brückes 14,der Kernstadt von Bad Kreuznach,1840!um 1840,"herrschaftliche Gründerzeitvilla mit Mansardwalmdach, Neurenaissance, 1882, Architekt Jacob Karst",Kein Bild vorhanden,49.848756,7.860636,
Villa,Brückes 16,der Kernstadt von Bad Kreuznach,1882,"herrschaftliche Gründerzeitvilla, zweieinhalbgeschossiger Walmdachbau, 1877/78, Architekt Ludwig Bohnstedt",Kein Bild vorhanden,49.848913,7.860886,
Jakob-Selzer-Fachschule,Brückes 18,der Kernstadt von Bad Kreuznach,1877!1877/78,"großvolumiger dreigeschossiger Walmdachbau, um 1840; bauzeitliches Nebengebäude",Kein Bild vorhanden,49.849138,7.861091,
Wohnhaus,Brückes 20,der Kernstadt von Bad Kreuznach,1840!um 1840,"ehemaliges herrschaftliches Weingut, Wohnhaus und Schaumweinfabrik; eineinhalbgeschossige klassizistische Anlage mit Walmdächern, um 1860; großvolumiger Kellereianbau auf L-förmigem Grundriss, 1877, Architekten Schaeffer und Bechthold; Felsenkeller, 1887, Architekt Jacob Kossmann",Kein Bild vorhanden,49.849389,7.861239,
Weingut,Brückes 21,der Kernstadt von Bad Kreuznach,1860!um 1860,"zweieinhalbgeschossiges klassizistisches Wohnhaus, 1880/81",Kein Bild vorhanden,49.850346,7.861757,
Wohnhaus,Brückes 22,der Kernstadt von Bad Kreuznach,1880!1880/81,"Wohnhaus, romanisierende Motive, um 1850",Kein Bild vorhanden,49.849526,7.86142,
Wohnhaus,Brückes 24,der Kernstadt von Bad Kreuznach,1850!um 1850,"Wohn- und Lagerhaus; eineinhalbgeschossiger klassizistischer Mansardwalmdachbau, um 1879",Kein Bild vorhanden,49.849657,7.861505,
Wohn- und Lagerhaus,Brückes 27,der Kernstadt von Bad Kreuznach,1879!um 1879,"repräsentativer villenartiger Walmdachbau, Neurenaissance, um 1860, Vorbau mit Neurenaissancemotiven, 1909, Architekt Anton Kullmann; Flügelbau, um 1860; südliches Hofgebäude, 1888, Architekt Jacob Karst",Kein Bild vorhanden,49.850933,7.862516,
Weingut Potthoff & Söhne,Brückes 33,der Kernstadt von Bad Kreuznach,1860!um 1860,"residenzartiges Wohn- und Geschäftshaus; Dreiflügelanlage in Quadermauerwerk, Heimatstil, 1930er Jahre, Wiederaufbau 1948/49, Architekt Theo Wilkens",Kein Bild vorhanden,49.851758,7.863743,
Weingut Anheuser & Fehrs,Brückes 41,der Kernstadt von Bad Kreuznach,1930!1930er Jahre,"eingeschossiger sandsteingegliederter Bruchsteinbau, um 1860, gotisierende Motive, Erweiterung 1955, Architekt Theo Wilkens; Gewölbekeller 1894, 1953 durch Halle überbaut",Kein Bild vorhanden,49.852984,7.864335,
Weingut Ökonomierat August E. Anheuser,Brückes 53,der Kernstadt von Bad Kreuznach,1860!um 1860,"ehemaliger Hauptbahnhof; zweiflügeliger burgartiger Rotklinkerbau, romanisierende Motive, 1860",Kein Bild vorhanden,49.854365,7.865893,
Güterbahnhof,Brückes 54,der Kernstadt von Bad Kreuznach,1860,"landhausartiges Wohnhaus; zweieinhalbgeschossiger Backsteinbau, teilweise Fachwerk, Walmdach, 1902, Architekt wohl Franz Collein",Kein Bild vorhanden,49.854806,7.867525,
Wohnhaus,Brückes 60,der Kernstadt von Bad Kreuznach,1902,"gründerzeitliches Wohnhaus; dreigeschossiger Klinkerbau mt Mansardwalmdach, Neurenaissancemotive",Kein Bild vorhanden,49.856204,7.868036,
