Denkmalzone Burg Grenzau,westlich von Grenzau (Burgstraße 25),Höhr-Grenzhausen,1213!vor 1213,"Bering der vor 1213 von Heinrich von Isenburg errichteten, 1635 zerstörten Anlage, Bergfried aus dem 14. Jahrhundert, Torbau mit Treppenturm, Bastion, wohl von Anfang des 17. Jahrhunderts",//commons.wikimedia.org/wiki/Category:Burg_Grenzau,50.450241,7.655452
Fachwerkhaus,Brunnenstraße 1/3,Höhr-Grenzhausen,1600!17. oder 18. Jahrhundert,"verputztes Fachwerkhaus mit Querbau, teilweise massiv, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.43968,7.655824
Fachwerkhaus,Brunnenstraße 15,Höhr-Grenzhausen,1600!17. oder 18. Jahrhundert,"L-förmiger Fachwerkbau, verputzt und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.438867,7.655148
Villa,Dammsweg 2,Höhr-Grenzhausen,1907,"natursteingegliederter Putzbau, 1907, mit Ausstattung; Erweiterung aus den 1920er Jahren",Kein Bild vorhanden,50.435744,7.662735
Fachwerkhaus,Friedrich-Corcilius-Weg 3,Höhr-Grenzhausen,1600!17. oder 18. Jahrhundert,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.439276,7.65736
Fachwerkhaus,Friedrich-Corcilius-Weg 5,Höhr-Grenzhausen,1600!17. oder 18. Jahrhundert,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.439281,7.657801
Fachwerkhaus,Friedrich-Corcilius-Weg 8,Höhr-Grenzhausen,1700!18. Jahrhundert,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert, im 19. Jahrhundert verlängert",Kein Bild vorhanden,50.439162,7.657933
Hofanlage,Hermann-Geisen-Straße 4–10,Höhr-Grenzhausen,1600!17. Jahrhundert,"Hofanlage; Wohnbau, im Kern wohl noch aus dem 17. Jahrhundert, mehrfach erweitert, Fachwerkscheune aus dem 18. Jahrhundert",Kein Bild vorhanden,50.439159,7.656715
Fachwerkhaus,Hermann-Geisen-Straße 14,Höhr-Grenzhausen,1600!17. oder 18. Jahrhundert,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.439413,7.656854
Wohnhaus,Hermann-Geisen-Straße 55,Höhr-Grenzhausen,1911,"villenartiger Mansarddachbau, teilweise mit Zierfachwerk, 1911",Kein Bild vorhanden,50.441544,7.657166
Fachwerkhaus,Katharinenstraße 12,Höhr-Grenzhausen,1705,"verputztes und verschiefertes, L-förmiges Fachwerkhaus, teilweise massiv, dendrodatiert 1705",Kein Bild vorhanden,50.439635,7.657146
Evangelische Pfarrkirche,Kirchstraße 9,Höhr-Grenzhausen,1200!Anfang des 13. Jahrhunderts,"romanischer Westturm, Anfang des 13. Jahrhunderts, Schiff und Chor von 1878",Kein Bild vorhanden,50.438473,7.655859
Kriegerdenkmal,"Rathausstraße, neben dem Eingang zum Stadtpark",Höhr-Grenzhausen,"","Kriegerdenkmal 1914/18, Trauernde",Kein Bild vorhanden,50.436668,7.663518
Verwaltungsgebäude,Rathausstraße 67,Höhr-Grenzhausen,1879!1879/80,"ehemaliges Amtsgericht; breitgelagerter Bruchsteinbau, Seitenrisalite, 1879/80, nach Kriegsschäden teilweise erneuert",Kein Bild vorhanden,50.437032,7.667066
Villa,Rathausstraße 89,Höhr-Grenzhausen,1897!1897–98,"Putzbau, teilweise mit Fachwerk, Landhausstil, bezeichnet 1897–98",Kein Bild vorhanden,50.436138,7.663136
Kriegerdenkmal,"Rathausstraße, bei Nr. 100",Höhr-Grenzhausen,"","Kriegerdenkmal 1870/71, weibliche Siegesstatue",Kein Bild vorhanden,50.438372,7.657802
Fachwerkhaus,Seiferwiese 1,Höhr-Grenzhausen,1700!18. Jahrhundert,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.440513,7.655632
Fachwerkhaus,Seiferwiese 6,Höhr-Grenzhausen,1700!18. Jahrhundert,"Fachwerkhaus, teilweise massiv, verputzt, wohl aus dem 18. Jahrhundert",Kein Bild vorhanden,50.441168,7.6561
Fachwerkhaus,Auf dem Acker 2a,Höhr-Grenzhausen,1800!erste Hälfte des 19. Jahrhunderts,"verputztes und verschiefertes Fachwerkhaus, teilweise massiv, rückwärtiger Anbau, erste Hälfte des 19. Jahrhunderts",Kein Bild vorhanden,50.434004,7.672004
Fachwerkhaus,Auf dem Acker 6,Höhr-Grenzhausen,1700!um 1700,"Fachwerkhaus, teilweise massiv und verputzt, um 1700",Kein Bild vorhanden,50.433846,7.672629
Wegekapelle,"Auf dem Hähnchen, gegenüber Nr. 2",Höhr-Grenzhausen,1900!um 1900,"Wegekapelle, neugotisch, um 1900",Kein Bild vorhanden,50.435693,7.677932
Westerwälder Salzbrandofen,Bergstraße 5,Höhr-Grenzhausen,1858,"keramische Werkstatt, 1858; Wohnhaus mit Jugendstilmotiven, ehemaliges Kannofenhaus mit originalem Westerwälder Salzbrandofen",Kein Bild vorhanden,50.432473,7.674925
Fachwerkhaus,Bergstraße 6,Höhr-Grenzhausen,1671,"Fachwerkhaus, teilweise massiv, bezeichnet 1671",Kein Bild vorhanden,50.432331,7.675564
Fachwerkhaus,Bergstraße 10,Höhr-Grenzhausen,1700!18. Jahrhundert,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",Kein Bild vorhanden,50.432304,7.67625
Wegekapelle,Emser Straße,Höhr-Grenzhausen,1732,"Wegekapelle, angeblich von 1732, im 19. Jahrhundert größtenteils massiv erneuert",Kein Bild vorhanden,50.427844,7.675727
Fachwerkhaus,Emser Straße 7a,Höhr-Grenzhausen,1600!17. oder 18. Jahrhundert,"verputztes Fachwerkhaus, teilweise massiv und verschiefert, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.431681,7.674295
Villa Schilz,Emser Straße 23,Höhr-Grenzhausen,1875!Ende des 19. Jahrhunderts,"Putzbau mit Werksteingliederung, Ende des 19. Jahrhunderts",Kein Bild vorhanden,50.430907,7.674699
Wegekreuz,"Gartenstraße, gegenüber Nr. 2",Höhr-Grenzhausen,1865,"Wegekreuz, Sandstein, bezeichnet 1865",Kein Bild vorhanden,50.434276,7.671687
Westerwälder Salzbrandofen,"Kleine Emser Straße, zu Nr. 4",Höhr-Grenzhausen,"","Westerwälder Salzbrandofen; museales Ensemble aus Brennraum, Ofenüberbauung und Werkstube",Kein Bild vorhanden,50.431959,7.672601
Fachwerkhaus,Kleine Emser Straße 6,Höhr-Grenzhausen,1705,"verputztes Fachwerkhaus, 1705",Kein Bild vorhanden,50.431913,7.673227
Wohnhaus,Mittelstraße 4,Höhr-Grenzhausen,1880!um 1880,"Wohnhaus mit Kniestock, um 1880",Kein Bild vorhanden,50.433026,7.672258
Fachwerkhaus,Mittelstraße 13,Höhr-Grenzhausen,1600!17. oder 18. Jahrhundert,"verputztes Fachwerkhaus mit Niederlass, teilweise massiv, wohl aus dem 17. oder 18. Jahrhundert",Kein Bild vorhanden,50.432894,7.673165
Wohnhaus,Rathausstraße 8,Höhr-Grenzhausen,"","zweiflügeliger barocker Mansarddachbau, einbezogen ein wohl älteres Wohnhaus",Kein Bild vorhanden,50.433602,7.671111
Fachwerkhaus,Rathausstraße 19,Höhr-Grenzhausen,"","verputztes Fachwerkhaus, Erker mit Zwerchhaus",Kein Bild vorhanden,50.433616,7.670113
Verwaltungsgebäude,Rathausstraße 38,Höhr-Grenzhausen,1907!1907/08,"ehemalige Reichsbanknebenstelle; Putzbau, Reformarchitektur, 1907/08",Kein Bild vorhanden,50.43614,7.668508
Wohnhaus,Rathausstraße 41,Höhr-Grenzhausen,1900!Anfang des 20. Jahrhunderts,"villenartiger Klinkerbau, historisierend und Jugendstil, Anfang des 20. Jahrhunderts",Kein Bild vorhanden,50.434064,7.66807
Fachwerkhaus,Rheinstraße 1,Höhr-Grenzhausen,1659,"Fachwerkhaus, teilweise massiv, bezeichnet 1659",Kein Bild vorhanden,50.433049,7.671816
Wohn- und Geschäftshaus,Rheinstraße 34,Höhr-Grenzhausen,1700!frühes 18. Jahrhundert,"Fachwerk-Eckwohn- und Geschäftshaus, teilweise massiv, im Kern aus dem frühen 18. Jahrhundert, Aufstockung im 19. Jahrhundert",Kein Bild vorhanden,50.432473,7.669083
Westerwälder Salzofen,"Rheinstraße, in Nr. 80",Höhr-Grenzhausen,1920!1920er Jahre,"Fachwerkgebäude mit Westerwälder Salzofen, wohl aus den 1920er Jahren; heute Institut für Künstlerische Keramik und Glas",Kein Bild vorhanden,50.431729,7.661903
Goetheschule,Schulstraße 7,Höhr-Grenzhausen,1901!1901/02,"Klinkerbau, Fassade farbig gegliedert, 1901/02",Kein Bild vorhanden,50.434516,7.669075
Katholische Pfarrkirche St. Peter und Paul,Töpferstraße 15,Höhr-Grenzhausen,1885,"neugotischer Bau, 1885, westlicher Teil mit Turm 1901 ff.",,50.435056,7.670653
