Wirtschaftsgebäude des ehemaligen Pfarrhofs,"Windhagen
(zu) Hauptstraße 49",Windhagen,1815!Anfang des 19. Jahrhunderts,Fachwerkbau,Kein Bild vorhanden,50.63174,7.335588
Wegekreuz,"Windhagen
(bei) Heckener Straße 7",Windhagen,1875!bezeichnet 1875,"",Kein Bild vorhanden,50.641079,7.379486
Wegekreuz,"Windhagen
Gemarkung: östlich der Ortslage an der Straße nach Hüngsberg",Windhagen,1880!bezeichnet 1880 (?),Nischenkreuz,Kein Bild vorhanden,50.643587,7.37144
Wegekreuz,Birken,Windhagen,1880!um 1880,"",Kein Bild vorhanden,50.635552,7.327607
Wegekreuz,"Frohnen
Frohner Straße",Windhagen,1880!um 1880,"",,50.618414,7.364902
Katholische Filialkirche Heilige Dreifaltigkeit,"Hallerbach
Hallerbacher Straße",Windhagen,1614!angeblich bezeichnet 1614,kleiner Saalbau,,50.658503,7.358817
Fachwerkhaus,"Hüngsberg
Hüngsberg 11 (an der K 30)",Windhagen,1750!18. Jahrhundert,teilweise massiv,,50.657106,7.365567
"neubarocke Walmdachvilla; Gesamtanlage mit Park, Mauer und Torpfosten","Johannisberg
Johannisberg 4",Windhagen,1920!um 1920/30,teilweise massiv,,nope,nope
Katholische Kapelle St. Sebastian,"Rederscheid
Am Kapellchen",Windhagen,1803!bezeichnet 1803,"kleiner Saal, Fachwerkgiebel, Barockaltar",,nope,nope
Wegekreuz,"Rederscheid
Rederscheider Straße",Windhagen,1856!bezeichnet 1856,"",,,
Hohner Mühle,"Rederscheid
Gemarkung",Windhagen,1750!im Kern aus dem 18. Jahrhundert,"",,,
Kapelle,"Stockhausen
Stockhausener Straße",Windhagen,1884–1886,neugotischer Backsteinsaal,,,
Fachwerkhaus eines ehemaligen Gräflich-Nesselroder Hofes,"Stockhausen
Weiherstraße ohne Nummer",Windhagen,1700!im Kern vor 1700,"teilweise Rähm-, teilweise Ständerbau,",,,
Wegekreuz,"Stockhausen
(bei) Weiherstraße 5",Windhagen,1876!bezeichnet 1876,"",,,
