Eitorfer Straße,Eitorfer Straße, Asbach (Westerwald),,"Wegekreuz, bezeichnet 1888",,50.691232,7.440564,
Eitorfer Straße 13,Eitorfer Straße 13, Asbach (Westerwald),,"stattliches Fachwerkhaus, um 1800",,50.68419,7.43309,
Eitorfer Straße 19,Eitorfer Straße 19, Asbach (Westerwald),,"zweizoniger Wohnteil einer Hofanlage, Zierfachwerk aus dem 18. Jahrhundert",,50.685265,7.43339,
Eitorfer Straße 20,Eitorfer Straße 20, Asbach (Westerwald),,"Dreiseithof; Wohnhaus mit Zierverschieferung, zweite Hälfte des 19. Jahrhunderts; Vorgarten mit Einfriedung, Hofbäumen und Wegekreuz",,50.685515,7.433877,
Niedermühlen 2,Niedermühlen 2, Asbach (Westerwald),,"stattliches Fachwerkhaus, teilweise massiv, erste Hälfte des 19. Jahrhunderts",,50.659213,7.477847,
Zur Wallfahrtskapelle,Zur Wallfahrtskapelle, Asbach (Westerwald),,"Katholische Wallfahrts- und Rektoratskirche zur Schmerzhaften Muttergottes; achtseitiger gotisierender Zentralbau, 1892/93, Architekten Carl Rüdell und Richard Odenthal, Köln; Chor 1861/62, Architekt Vincenz Statz, Köln",,50.659475,7.475488,
Am Spielhügel,Am Spielhügel, Asbach (Westerwald),,"Wegekreuz, bezeichnet 1884",,50.643787,7.416785,
Im Weidchen 3,Im Weidchen 3, Asbach (Westerwald),,"zweizoniger Wohnteil eines Quereinhauses mit Niederlass, Fachwerk aus dem 18. Jahrhundert",,50.64411,7.41633,
Parscheider Straße 3,Parscheider Straße 3, Asbach (Westerwald),,"Fachwerkhaus mit Niederlass, teilweise verkleidet, 18. Jahrhundert",,50.662153,7.44292,
Parscheider Straße 19,Parscheider Straße 19, Asbach (Westerwald),,"Hofhaus einer ehemals ritterschaftlichen Hofanlage; stattlicher Krüppelwalmdachbau, im Kern vor 1700",,50.66173,7.43881,
(bei) Rindhausener Straße 5,(bei) Rindhausener Straße 5, Asbach (Westerwald),,"Wegekreuz, Sandstein, bezeichnet 1881",,50.67208,7.40439,
Rindhausener Straße 11,Rindhausener Straße 11, Asbach (Westerwald),,"Fachwerk-Quereinhaus, Mitte oder zweite Hälfte des 19. Jahrhunderts",,50.67284,7.40439,
Diefenau,Diefenau, Asbach (Westerwald),,"siebenachsiger eingeschossiger Krüppelwalmdachbau, Bruchstein, Ende des 18. Jahrhunderts oder um 1800",,50.642355,7.481852,
"Ütgenbach, südwestlich von Schöneberg im Wald an der Kreisstraße 69 (zwischen Heide und Krankel)","Ütgenbach, südwestlich von Schöneberg im Wald an der Kreisstraße 69 (zwischen Heide und Krankel)", Asbach (Westerwald),,"Katholische Kapelle St. Florinus; kleiner Saalbau, 12. Jahrhundert",,,,
Sessenhausen 13,Sessenhausen 13, Asbach (Westerwald),,"kleines Fachwerk-Quereinhaus, 18. Jahrhundert mit einem Fachwerkanbau 19. Jahrhundert",,50.675553,7.456983,
Wester 3,Wester 3, Asbach (Westerwald),,"Hofanlage, ehemaliger Zehnthof (?); Fachwerkhaus, teilweise massiv, 17.Jahrhundert, Fachwerkscheune aus dem 18. oder 19. Jahrhundert",,50.67061,7.44131,
"Am Paffelter, auf dem Friedhof","Am Paffelter, auf dem Friedhof", Bad Hönningen,,"Wegekreuz, barock, bezeichnet 1704; Kriegerdenkmal 1914/18, bezeichnet 1939",,,,
Auf dem Plänzer 2,Auf dem Plänzer 2, Bad Hönningen,,"Wohnhaus, repräsentativer Putzbau, expressionistisch beeinflusste Reformarchitektur, um 1920/30",,50.513251,7.308916,
Hauptstraße,Hauptstraße, Bad Hönningen,,"Wasserturm (?) der Kali-Werke, Backsteinturm auf quadratischem Grundriss, um 1920/30",,50.513163,7.309763,
Hauptstraße ohne Nummer,Hauptstraße ohne Nummer, Bad Hönningen,,"Mansarddachbau, 1741, im 19. Jahrhundert überformt, polygonaler Kapellenanbau, bezeichnet 1569; Scheune, 1765",,,,
Hauptstraße 44,Hauptstraße 44, Bad Hönningen,,"dreigeschossiges Wohnhaus, Mittelerker, Jugendstildekor, um 1905",,50.51136,7.31166,
Hauptstraße 46,Hauptstraße 46, Bad Hönningen,,"Wohnhaus, repräsentativer Putzbau, viergeschossiger Eckturm mit Fachwerkobergeschoss, um 1900",,50.511551,7.311488,
Hauptstraße 74a,Hauptstraße 74a, Bad Hönningen,,"repräsentatives Wohnhaus, Neurenaissance, um 1900",,50.51282,7.30973,
Hauptstraße 82,Hauptstraße 82, Bad Hönningen,,"repräsentative Mansarddach-Villa, Ende des 19. Jahrhunderts",,50.51347,7.3099,
Hauptstraße 130,Hauptstraße 130, Bad Hönningen,,"Wohn- und Geschäftshaus; Fachwerkbau, teilweise massiv, Mansarddach",,50.515627,7.307423,
Hauptstraße 162,Hauptstraße 162, Bad Hönningen,,"sogenanntes Hohes Haus, ehemaliger Wohnturm; dreigeschossiger Putzbau, im Kern aus dem 14. oder 15. Jahrhundert",,50.516615,7.305961,
Hellingsgasse 8,Hellingsgasse 8, Bad Hönningen,,"stattlicher barocker Mansarddachbau, bezeichnet 1725",,50.515936,7.304612,
Hofstraße 6,Hofstraße 6, Bad Hönningen,,"stattliches Fachwerkhaus, teilweise massiv, 17. Jahrhundert",,50.51428,7.30743,
Kirchstraße,Kirchstraße, Bad Hönningen,,"Katholische Pfarrkirche St. Peter und Paul; ursprünglich ein barocker Saalbau, 1718–20, Ostturm 1788, Erweiterung mit Seitenschiffen und Querschiff, 1919/20",,50.514586,7.307134,
Kirchstraße 7,Kirchstraße 7, Bad Hönningen,,von einem Wohngebäude des 18. Jahrhunderts ein tonnengewölbter Keller sowie das Mauerwerk des Erd- und erstes Obergeschosses erhalten,,50.514629,7.307325,
Kreuzgasse 2,Kreuzgasse 2, Bad Hönningen,,"kleines Fachwerkhaus, bezeichnet 1748",,50.516247,7.305923,
Marktstraße 8,Marktstraße 8, Bad Hönningen,,"sogenanntes Haus Lacher, ehemaliger Freiadelshof; Fachwerkhaus, Mansarddach, erste Hälfte des 18. Jahrhunderts",,50.515797,7.306081,
Marktstraße 12,Marktstraße 12, Bad Hönningen,,"Burghaus; stattlicher Putzbau, erstes Viertel des 17. Jahrhunderts",,50.515489,7.305286,
Melkenweg,Melkenweg, Bad Hönningen,,"Wegekreuz, Balkenkreuz, bezeichnet 1630",,50.514528,7.317211,
Neustraße 20,Neustraße 20, Bad Hönningen,,"Fachwerkhaus, erste Hälfte des 17. Jahrhunderts",,50.515166,7.308635,
Neustraße 52,Neustraße 52, Bad Hönningen,,dreigeschossiger Putzbau,,50.517095,7.306452,
Schmiedgasse 7,Schmiedgasse 7, Bad Hönningen,,"Wohn- und Gasthaus; Fachwerkbau, teilweise massiv, bezeichnet 1610; Querflügel, bezeichnet 1620",,50.514969,7.306822,
Waldbreitbacher Straße 90,Waldbreitbacher Straße 90, Bad Hönningen,,"sogenannter Mönchshof; stattlicher barocker Krüppelwalmdachbau, 18. Jahrhundert, die Anlage im Kern älter; profanierte Kapelle",,50.5221,7.31777,
nördlich der Ortslage,nördlich der Ortslage, Bad Hönningen,,"Hof Homborn; stattliche Hofanlage; repräsentativer Bruchsteinbau, wohl aus der Mitte des 19. Jahrhunderts, Backstein-Dachgeschoss wohl vom Ende des 19. Jahrhunderts, Bruchstein-Wirtschaftsgebäude, erste Hälfte oder Mitte des 19. Jahrhunderts",,,,
"Denkmalzone Ortskern, Burg, Kapelle (Ariendorfer Straße 10, 13, 14, 17, 19, Bergstraße 2)","Denkmalzone Ortskern, Burg, Kapelle (Ariendorfer Straße 10, 13, 14, 17, 19, Bergstraße 2)", Bad Hönningen,,südlich anschließend an die Burg charakteristisches Straßenbild aus Kapelle und mehreren Fachwerkanwesen des 18. und 19. Jahrhunderts,,,,
"Denkmalzone Ariendorfer Rheinufer (Rheintalstraße 2 und 5, Ariendorfer Straße 4 (nur Altbau))","Denkmalzone Ariendorfer Rheinufer (Rheintalstraße 2 und 5, Ariendorfer Straße 4 (nur Altbau))", Bad Hönningen,,drei stattliche Anwesen des 18. Jahrhunderts mit repräsentativen Fachwerkwohnhäusern,,,,
Ariendorfer Straße 4,Ariendorfer Straße 4, Bad Hönningen,,"stattliches zweiflügliges Anwesen; Fachwerkbau, angeblich von 1746, Querflügel wohl etwas jünger",,50.530417,7.295119,
Ariendorfer Straße 17,Ariendorfer Straße 17, Bad Hönningen,,"Winkelhof; Fachwerkhaus, 18. Jahrhundert, Fachwerk-Wirtschaftsteil wohl etwas jünger",,50.530703,7.296138,
Ariendorfer Straße 19,Ariendorfer Straße 19, Bad Hönningen,,"stattliches Fachwerkhaus, bezeichnet 1710",,50.530916,7.296346,
Ariendorfer Straße 21,Ariendorfer Straße 21, Bad Hönningen,,"schmales Fachwerkhaus, 18. Jahrhundert",,50.530987,7.296433,
Bergstraße,Bergstraße, Bad Hönningen,,Kriegerdenkmal 1914/18,,50.530385,7.2965,
Bergstraße 3,Bergstraße 3, Bad Hönningen,,"Fachwerkhaus, 18. Jahrhundert",,50.530386,7.296418,
Markenweg,Markenweg, Bad Hönningen,,"Katholische Kapelle St. Johann Baptist; kleiner Saalbau, 1712",,50.527149,7.297743,
Rheintalstraße 2,Rheintalstraße 2, Bad Hönningen,,"stattliches Fachwerkhaus, Mansarddach, angeblich 1763",,50.530028,7.295145,
nordwestlich der Ortslage (an der B 42),nordwestlich der Ortslage (an der B 42), Bad Hönningen,,"Pegelturm; kleiner runder Turm, Kegeldach, bezeichnet 1900",,,,
am westlichen Ortseingang,am westlichen Ortseingang, Bad Hönningen,,"Kapelle, Putzbau, zweite Hälfte des 19. Jahrhunderts",,,,
Wasserstraße 12,Wasserstraße 12,Bonefeld,,"Fachwerkhaus, 18. Jahrhundert",,50.525893,7.492842,
südöstlich der Ortslage im Fockenbachtal,südöstlich der Ortslage im Fockenbachtal, Breitscheid (Westerwald),,"Fockenbachsmühle; Fachwerkhaus, teilweise massiv, Krüppelwalmdach, 18. Jahrhundert",,,,
Dasbacher Straße,Dasbacher Straße, Breitscheid (Westerwald),,"Katholische Kapelle St. Quirin; kleiner Bruchsteinbau, 1877/78 erbaut (1677 erstmals urkundlich erwähnt; 1854 umfassend saniert; 1877/78 vollständig neu erbaut; bis 1844 und ab 1952 dem Heiligen Quirinius geweiht; von 1844 bis 1952 dem Heiligen Simon)",,50.570812,7.465682,
Waldbreitbacher Straße 18,Waldbreitbacher Straße 18, Breitscheid (Westerwald),,"Katholische Kapelle „Zu den Sieben Schmerzen Mariä“, Saalbau in spätgotischen Formen, wohl 1615",,50.557491,7.447667,
"Denkmalzone Ortskern (Orsberger Straße 1 und 2–10 (nur gerade Nummern), Kirchstraße 1–9 (ungerade Nummern) und 4–12 (gerade Nummern), Marienbergstraße 6 und 8)","Denkmalzone Ortskern (Orsberger Straße 1 und 2–10 (nur gerade Nummern), Kirchstraße 1–9 (ungerade Nummern) und 4–12 (gerade Nummern), Marienbergstraße 6 und 8)", Bruchhausen (Landkreis Neuwied),,überwiegend freigelegte Fachwerkhäuser des 17. bis 19. Jahrhunderts,,50.436187,7.466455,
Kirchstraße,Kirchstraße, Bruchhausen (Landkreis Neuwied),,"Katholische Pfarr- und Wallfahrtskirche St. Johann Baptist; vierteiliger Baukomplex auf unregelmäßigem Grundriss, 13. bis 17. Jahrhundert; Westturm und Langhauswände zweites Viertel des 13. Jahrhunderts, spätgotischer Chor, Vorbau von 1682; mehrere alte Grabsteine; Bildstock, bezeichnet 1742",,50.601737,7.252491,
Kirchstraße 12,Kirchstraße 12, Bruchhausen (Landkreis Neuwied),,"Streckhof; Fachwerkbau, 18. Jahrhundert, Fachwerkscheune, 18. oder 19. Jahrhundert",,50.60184,7.25265,
(bei) Kirchstraße 17,(bei) Kirchstraße 17, Bruchhausen (Landkreis Neuwied),,"Wegekreuz, Schaftkreuz, bezeichnet 1747",,50.60191,7.25136,
Marienbergstraße 8,Marienbergstraße 8, Bruchhausen (Landkreis Neuwied),,"ehemalige Kellerei des Winzervereins; eingeschossiger Krüppelwalmdachbau, Backstein, bezeichnet 1901",,50.60115,7.25434,
Orsberger Straße 1,Orsberger Straße 1, Bruchhausen (Landkreis Neuwied),,"ehemaliges Pastorat; Fachwerkhaus, Mansarddach, zweite Hälfte des 18. Jahrhunderts",,50.60107,7.25343,
Orsberger Straße 4,Orsberger Straße 4, Bruchhausen (Landkreis Neuwied),,"Fachwerkhaus, teilweise massiv, 17. Jahrhundert",,50.60119,7.25332,
Siebengebirgsstraße 14,Siebengebirgsstraße 14, Bruchhausen (Landkreis Neuwied),,"Fachwerkhaus, erste Hälfte des 19. Jahrhunderts",,50.602068,7.24997,
Waldstraße 4,Waldstraße 4, Bruchhausen (Landkreis Neuwied),,"Fachwerkhaus, frühes 18. Jahrhundert",,50.60208,7.25156,
Waldstraße 26/28/30,Waldstraße 26/28/30, Bruchhausen (Landkreis Neuwied),,"sogenannte Burg, Hofanlage mit heterogenem Baubestand; Putzbau mit Fachwerkvorbau, im Kern eventuell noch spätmittelalterlich, Bruchsteinwohnhaus bezeichnet 1752; Gesamtanlage mit Wirtschafts- und Wohngebäuden sowie dem Grundstück",,50.602176,7254,
Hauptstraße,Hauptstraße, Buchholz (Westerwald),,"Katholische Pfarrkirche St. Pantaleon; dreigeschossiger Turm der gotisierenden Hallenkirche St. Pantaleon, 1863",,50.689399,7.396979,
Hauptstraße 40,Hauptstraße 40, Buchholz (Westerwald),,"Fachwerkhaus einer Hofanlage, teilweise verputzt, Mitte des 19. Jahrhunderts",,50.69012,7.39747,
Hauptstraße 112,Hauptstraße 112, Buchholz (Westerwald),,"Fachwerk-Quereinhaus mit Niederlass, teilweise massiv, 18. Jahrhundert",,50.68491,7.38947,
Mühlenweg,Mühlenweg, Buchholz (Westerwald),,"Wegekreuz, bezeichnet 1886",,50.690718,7.400345,
Jungerother Straße,Jungerother Straße, Buchholz (Westerwald),,"Wegekreuz, Holz, 18. oder 19. Jahrhundert",,50.707908,7.384491,
Heckenstraße,Heckenstraße, Buchholz (Westerwald),,"Wegekreuz, Sandstein, Ende des 19. Jahrhunderts",,50.709631,7.386216,
Heideweg 9,Heideweg 9, Buchholz (Westerwald),,"Fachwerkhaus, erste Hälfte des 19. Jahrhunderts",,50.710772,7.384945,
Hennefer Straße 18,Hennefer Straße 18, Buchholz (Westerwald),,"langgestrecktes Fachwerk-Quereinhaus, 17. bis 19. Jahrhundert",,50.711387,7.383195,
nordöstlich der Ortslage an der B 8 (bei Stotterheck),nordöstlich der Ortslage an der B 8 (bei Stotterheck), Buchholz (Westerwald),,"Grenzstein, vierseitiger Block",,,,
bei Wertenbruch 4 an der K 56,bei Wertenbruch 4 an der K 56, Buchholz (Westerwald),,"Wegekreuz; Holz, mit kleiner Nische und Darstellung der Wundmale, angeblich von 1839",,50.706089,7.374318,
Im Wallroth 6,Im Wallroth 6, Buchholz (Westerwald),,"Kleinbäuerliches Einfirsthaus mit Niederlass, Fachwerk, frühes 19. Jahrhundert",,50.692169,7.394909,
Krummenast 12,Krummenast 12, Buchholz (Westerwald),,"Fachwerkhaus mit (jüngerem) Niederlass, teilweise massiv, 17. Jahrhundert",,50.678577,7.38285,
(bei) Krummenast 14,(bei) Krummenast 14, Buchholz (Westerwald),,"Wegekreuz, Sandstein, bezeichnet 1726",,50.678379,7.3828,
Barger Weg,Barger Weg, Buchholz (Westerwald),,"Wegekreuz, bezeichnet 1815",,50.695456,7.414607,
Bonner Straße,Bonner Straße, Buchholz (Westerwald),,"Katholische Filialkirche; einachsiger Saalbau, bezeichnet 1857",,50.696263,7.411099,
Im Winkel 4,Im Winkel 4, Buchholz (Westerwald),,"zweizoniger Fachwerk-Wohnteil einer Hofanlage, teilweise verkleidet, 18. Jahrhundert",,50.698085,7.412102,
Bergerhof 3,Bergerhof 3, Buchholz (Westerwald),,"kleines ehemaliges Fachwerk-Quereinhaus, teilweise massiv, 18. Jahrhundert",,50.6945,7.37034,
Luisenstraße,Luisenstraße, Buchholz (Westerwald),,"Wegekreuz, Holz, 18. oder 19. Jahrhundert (vor 1893)",,50.694932,7.373591,
Denkmalzone Burg Dattenberg (Burgstraße 2),Denkmalzone Burg Dattenberg (Burgstraße 2), Dattenberg,,"kreisförmige Anlage, Bergfried, Reste des Berings der Kernburg, Mitte des 13. Jahrhunderts; historistische Villa, um 1890",,,,
Burgstraße,Burgstraße, Dattenberg,,"Wegekreuz, bezeichnet 1699",,50.555969,7.291133,
Burgstraße 14,Burgstraße 14, Dattenberg,,"Winkelhof; Fachwerkhaus, teilweise massiv, 17. oder 18. Jahrhundert, stattliche Fachwerkstallscheune, 18. Jahrhundert, Fachwerknebengebäude",,50.55576,7.290766,
Burgstraße 27,Burgstraße 27, Dattenberg,,"Fachwerkhaus, 16. Jahrhundert",,50.556226,7.291701,
Burgstraße 33,Burgstraße 33, Dattenberg,,"Fachwerkhaus, teilweise massiv, um 1700",,50.556338,7.291917,
Burgstraße 35,Burgstraße 35, Dattenberg,,"Fachwerkhaus, 18. Jahrhundert; Gesamtanlage mit Hof und Fachwerknebengebäuden",,50.556091,7.292711,
Hauptstraße,Hauptstraße, Dattenberg,,"Wegekreuz, bezeichnet 1719",,50.554328,7.296222,
Hauptstraße 24,Hauptstraße 24, Dattenberg,,"sogenannter Grabenhof; Winzergehöft, 17. und 18. Jahrhundert, bezeichnet 1633; Fachwerkwohnhaus mit Wirtschaftsgebäude",,50.539017,7.391588,
Hauptstraße 34,Hauptstraße 34, Dattenberg,,"Fachwerkhaus, 18. oder frühes 19. Jahrhundert",,50.588267,7.281823,
Kirchstraße 9,Kirchstraße 9, Dattenberg,,"Katholische Pfarrkirche Heilige Schutzengel; neuspätromanische Säulenbasilika, Backstein, 1890–1892, Architekten Carl Rüdell und Richard Odenthal, Köln",,50.554354,7.293281,
Neustraße 13,Neustraße 13, Dattenberg,,barocker Mansarddachbau,,50.553921,7.293343,
Römerwall 1,Römerwall 1, Dattenberg,,"langgestrecktes Fachwerkhaus, teilweise massiv, 18. Jahrhundert",,50.553426,7.29415,
nordöstlich der Ortslage,nordöstlich der Ortslage, Dattenberg,,"Hof Ronig; stattliches Wohnhaus einer Hofanlage; Fachwerkbau, zweite Hälfte des 18. Jahrhunderts",,,,
"(auf) Hof Ronig, nordöstlich der Ortslage an der Straße nach Ronig","(auf) Hof Ronig, nordöstlich der Ortslage an der Straße nach Ronig", Dattenberg,,"Wegekapelle; kleiner Putzbau, bezeichnet 1858",,,,
Dorfstraße,Dorfstraße, Datzeroth,,"Straßenbrücke, vierbogig, Bruchstein, 1909",,50.506795,7.432297,
Dorfstraße 26,Dorfstraße 26, Datzeroth,,"Hofanlage; Fachwerkhaus, teilweise massiv, 18. Jahrhundert, Stall und Scheune Fachwerk, teilweise massiv, 18. und 19. Jahrhundert",,50.50653,7.42857,
Mühlenstraße 5,Mühlenstraße 5, Dernbach (Landkreis Neuwied),,"Fachwerkhaus, teilweise massiv, 18. Jahrhundert",,50.54972,7.59969,
Am Damm 1,Am Damm 1, Dierdorf,,"ehemalige Schule; siebenachsiger klassizistischer Bruchsteinbau, Mitte des 19. Jahrhunderts",,50.546844,7.656162,
Bahnhofstraße,Bahnhofstraße, Dierdorf,,"ehemaliger Bahnhof; Typenbau, dreigeschossiger Hauptbau, teilweise verschiefert, Seitenbauten",,50.544433,7.656759,
Hanallee 1,Hanallee 1, Dierdorf,,"ehemaliges Nebengebäude des Schlosses; Mansarddachbau, angeblich von 1713, 1796 erweitert",,50.54791,7.65862,
Hauptstraße,Hauptstraße, Dierdorf,,"ehemalige Stadtbefestigung:

(bei) Hauptstraße 4: sogenannter Unterturm (rund); zweite Hälfte des 14. Jahrhunderts
Hauptstraße, Ecke Turmgasse: sogenannter Uhrturm oder Mittelturm (kubisch); zweite Hälfte des 14. Jahrhunderts; Turmuhr von Christian Kinzing, 1772

",,50.547797,7.65659,
(bei) Hauptstraße 4,(bei) Hauptstraße 4, Dierdorf,,sogenannter Unterturm (rund), zweite Hälfte des 14. Jahrhunderts,50.548125,7.655315,
"Hauptstraße, Ecke Turmgasse","Hauptstraße, Ecke Turmgasse", Dierdorf,,"sogenannter Uhrturm oder Mittelturm (kubisch); zweite Hälfte des 14. Jahrhunderts; Turmuhr von Christian Kinzing, 1772",,,,
Pfarrstraße,Pfarrstraße, Dierdorf,,"Evangelische Pfarrkirche; neuromanische Staffelkirche, 1903/04, spätromanischer Westturm",,50.546501,7.657024,
im ehemaligen Schlosspark zwischen B 413 und Schloßstraße,im ehemaligen Schlosspark zwischen B 413 und Schloßstraße, Dierdorf,,"Mausoleum der Grafen von Wied-Runkel; kleiner neugotischer Rechteckbau, bald nach 1816; spätmittelalterliche und frühneuzeitliche Grabdenkmäler",,,,
Denkmalzone Jüdischer Friedhof (nördlich der Ortslage),Denkmalzone Jüdischer Friedhof (nördlich der Ortslage), Dierdorf,,etwa 80 Grabsteine,,,,
Hintergasse 20,Hintergasse 20, Dierdorf,,"ehemalige Schule;fünfachsiger Bruchsteinbau, um 1880",,50.536369,7.659838,
Vordergasse 16,Vordergasse 16, Dierdorf,,"ehemaliges Feuerspritzhaus; eingeschossiger Bruchsteinbau, hölzerner Schlauchturm, Anfang des 20. Jahrhunderts",,50.538611,7.662858,
Grenzbachstraße,Grenzbachstraße, Döttesfeld,,"Pumpbrunnen, Gusseisen, zweite Hälfte des 19. Jahrhunderts",,50.607612,7.552744,
Rheinstraße 26,Rheinstraße 26, Ehlscheid,,"Fachwerkhaus, teilweise massiv und verschiefert, 18. Jahrhundert",,50.51395,7.46466,
Wilhelmstraße 5,Wilhelmstraße 5, Ehlscheid,,"Wohn- und Gasthaus; Fachwerkbau, 18. Jahrhundert",,50.514374,7.46596,
